Player;Tm;Opp;Res;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;Data
Isaiah Stewart;DET;MIA;L;34.6;6;11;0.545;2;3;0.667;0;0;0.0;6;8;14;2;0;0;1;3;14;14.5;25/10/2023
Saddiq Bey;ATL;CHO;L;28.83;6;12;0.5;1;4;0.25;2;2;1.0;3;2;5;0;5;0;2;1;15;14.3;25/10/2023
Bennedict Mathurin;IND;WAS;W;25.83;6;15;0.4;2;6;0.333;4;4;1.0;0;4;4;5;2;0;2;1;18;14.2;25/10/2023
Danilo Gallinari;WAS;IND;L;17.17;4;7;0.571;2;2;1.0;6;6;1.0;2;1;3;0;0;0;0;1;16;14.0;25/10/2023
Franz Wagner;ORL;HOU;W;27.05;5;12;0.417;3;7;0.429;6;6;1.0;3;1;4;2;1;0;3;1;19;14.0;25/10/2023
DeMar DeRozan;CHI;OKC;L;32.88;9;20;0.45;1;3;0.333;1;3;0.333;2;3;5;2;1;1;0;1;20;13.8;25/10/2023
Jalen Smith;IND;WAS;W;13.42;5;6;0.833;2;2;1.0;1;1;1.0;3;5;8;0;1;0;0;4;13;13.8;25/10/2023
Andrew Nembhard;IND;WAS;W;21.6;6;9;0.667;0;1;0.0;0;0;0.0;1;3;4;10;0;0;2;4;12;13.1;25/10/2023
Nikola Vučević;CHI;OKC;L;31.95;5;8;0.625;0;2;0.0;1;1;1.0;1;8;9;4;3;2;4;2;11;12.9;25/10/2023
Paolo Banchero;ORL;HOU;W;27.9;3;6;0.5;0;1;0.0;6;7;0.857;0;5;5;5;1;0;1;2;12;12.8;25/10/2023
Keldon Johnson;SAS;DAL;L;31.73;7;15;0.467;1;3;0.333;2;3;0.667;2;7;9;7;0;0;3;4;17;12.7;25/10/2023
Alperen Sengun;HOU;ORL;L;28.47;6;11;0.545;0;1;0.0;2;4;0.5;2;6;8;6;0;0;1;4;14;12.7;25/10/2023
Derrick White;BOS;NYK;W;31.93;4;6;0.667;1;3;0.333;3;4;0.75;0;6;6;2;2;1;1;3;12;12.7;25/10/2023
Keegan Murray;SAC;UTA;W;29.68;5;13;0.385;4;9;0.444;1;1;1.0;2;6;8;1;1;2;0;4;15;12.6;25/10/2023
Delon Wright;WAS;IND;L;25.32;3;8;0.375;1;1;1.0;1;1;1.0;1;5;6;6;3;0;0;1;8;12.6;25/10/2023
