Player;Tm;Opp;Res;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;Data
Joel Embiid;PHI;HOU;W;31.27;12;21;0.571;1;5;0.2;16;17;0.941;2;8;10;3;1;1;2;5;41;34.3;15/01/2024
Trae Young;ATL;SAS;W;37.6;11;24;0.458;6;11;0.545;8;9;0.889;0;6;6;13;1;1;3;0;36;32.8;15/01/2024
Kyrie Irving;DAL;NOP;W;41.4;13;28;0.464;3;9;0.333;13;15;0.867;0;7;7;7;0;1;3;1;42;31.1;15/01/2024
Jimmy Butler;MIA;BRK;W;40.3;8;12;0.667;0;0;0.0;15;16;0.938;2;3;5;4;2;0;1;2;31;30.7;15/01/2024
Donovan Mitchell;CLE;CHI;W;36.5;11;21;0.524;4;10;0.4;8;8;1.0;2;1;3;7;2;0;2;0;34;30.3;15/01/2024
Lauri Markkanen;UTA;IND;W;28.48;10;15;0.667;2;4;0.5;10;10;1.0;2;8;10;3;0;0;1;1;32;30.0;15/01/2024
Tim Hardaway;DAL;NOP;W;40.63;11;23;0.478;9;15;0.6;10;10;1.0;0;2;2;2;1;0;4;0;41;28.3;15/01/2024
Anthony Davis;LAL;OKC;W;38.4;9;17;0.529;0;1;0.0;9;10;0.9;3;12;15;5;2;1;2;3;27;27.0;15/01/2024
Alec Burks;DET;WAS;W;28.62;11;17;0.647;8;12;0.667;4;4;1.0;0;2;2;2;0;0;1;2;34;26.7;15/01/2024
Victor Wembanyama;SAS;ATL;L;27.08;12;18;0.667;1;5;0.2;1;1;1.0;2;11;13;2;2;5;3;2;26;26.0;15/01/2024
Collin Sexton;UTA;IND;W;24.27;11;17;0.647;4;5;0.8;4;4;1.0;1;2;3;5;0;0;1;2;30;25.5;15/01/2024
Jalen Duren;DET;WAS;W;26.0;8;8;1.0;0;0;0.0;4;5;0.8;2;17;19;4;0;1;2;3;20;24.0;15/01/2024
Mikal Bridges;BRK;MIA;L;43.85;10;23;0.435;2;10;0.2;4;4;1.0;2;7;9;6;2;2;1;1;26;23.6;15/01/2024
Jalen Williams;OKC;LAL;L;34.8;10;18;0.556;2;4;0.5;3;4;0.75;2;1;3;6;3;0;1;1;25;23.5;15/01/2024
Vince Williams;MEM;GSW;W;37.87;6;11;0.545;3;6;0.5;9;10;0.9;3;4;7;4;2;1;3;2;24;23.3;15/01/2024
Jrue Holiday;BOS;TOR;W;33.93;7;14;0.5;4;6;0.667;4;4;1.0;1;5;6;7;1;2;1;2;22;22.7;15/01/2024
Gregory Jackson;MEM;GSW;W;29.17;6;9;0.667;5;8;0.625;6;8;0.75;1;5;6;1;2;2;2;3;23;21.4;15/01/2024
Tyus Jones;WAS;DET;L;31.18;9;19;0.474;4;10;0.4;0;0;0.0;2;4;6;7;1;0;0;0;22;20.8;15/01/2024
Zion Williamson;NOP;DAL;L;32.37;12;17;0.706;0;0;0.0;6;11;0.545;0;1;1;3;1;0;3;2;30;20.5;15/01/2024
Stephen Curry;GSW;MEM;L;32.73;11;20;0.55;3;9;0.333;1;1;1.0;1;3;4;8;2;1;5;4;26;19.7;15/01/2024
Tyrese Maxey;PHI;HOU;W;35.37;8;18;0.444;6;10;0.6;5;5;1.0;0;1;1;7;0;0;2;4;27;19.2;15/01/2024
Jeremy Sochan;SAS;ATL;L;38.08;8;16;0.5;2;4;0.5;5;5;1.0;3;5;8;4;2;2;4;4;23;19.2;15/01/2024
RJ Barrett;TOR;BOS;L;36.28;11;19;0.579;0;4;0.0;2;3;0.667;0;9;9;4;0;0;0;4;24;18.6;15/01/2024
CJ McCollum;NOP;DAL;L;29.0;9;17;0.529;3;7;0.429;2;2;1.0;0;6;6;4;1;0;0;5;23;18.3;15/01/2024
Kyle Kuzma;WAS;DET;L;33.15;7;21;0.333;3;9;0.333;4;4;1.0;0;8;8;4;3;2;0;2;21;17.9;15/01/2024
Jaden Ivey;DET;WAS;W;32.47;9;18;0.5;2;7;0.286;4;7;0.571;1;6;7;6;0;3;5;0;24;17.6;15/01/2024
Dillon Brooks;HOU;PHI;L;31.35;7;9;0.778;2;3;0.667;2;4;0.5;2;4;6;0;2;0;0;2;18;17.5;15/01/2024
Tyler Herro;MIA;BRK;W;37.62;11;22;0.5;4;11;0.364;3;4;0.75;1;10;11;2;0;0;4;3;29;17.5;15/01/2024
Jalen Johnson;ATL;SAS;W;37.6;7;13;0.538;1;2;0.5;1;1;1.0;0;10;10;7;6;0;5;3;16;17.4;15/01/2024
Shai Gilgeous-Alexander;OKC;LAL;L;34.3;9;19;0.474;1;6;0.167;5;5;1.0;0;3;3;6;1;1;3;3;24;16.9;15/01/2024
Jayson Tatum;BOS;TOR;W;37.47;7;19;0.368;1;6;0.167;4;4;1.0;0;14;14;6;1;1;1;2;19;16.8;15/01/2024
Ausar Thompson;DET;WAS;W;27.18;6;8;0.75;0;1;0.0;2;3;0.667;1;7;8;2;3;0;0;2;14;16.8;15/01/2024
Jarrett Allen;CLE;CHI;W;34.08;4;5;0.8;0;0;0.0;2;2;1.0;5;9;14;3;2;1;2;1;10;16.7;15/01/2024
Alperen Sengun;HOU;PHI;L;30.15;7;15;0.467;1;1;1.0;4;6;0.667;5;4;9;6;1;2;5;1;19;16.4;15/01/2024
LeBron James;LAL;OKC;W;38.92;12;20;0.6;1;2;0.5;0;1;0.0;0;7;7;6;0;0;5;1;25;16.3;15/01/2024
Royce O'Neale;BRK;MIA;L;30.17;5;10;0.5;5;10;0.5;0;0;0.0;1;8;9;5;0;1;0;4;15;15.7;15/01/2024
Clint Capela;ATL;SAS;W;24.85;5;7;0.714;0;0;0.0;3;6;0.5;6;5;11;0;0;4;1;2;13;15.6;15/01/2024
Keyonte George;UTA;IND;W;23.73;6;11;0.545;3;7;0.429;4;5;0.8;0;0;0;5;1;0;2;1;19;15.4;15/01/2024
Sam Merrill;CLE;CHI;W;20.27;5;7;0.714;4;6;0.667;1;1;1.0;1;2;3;2;2;0;0;4;15;15.2;15/01/2024
Austin Reaves;LAL;OKC;W;33.17;6;10;0.6;1;3;0.333;2;2;1.0;0;3;3;7;0;1;2;0;15;14.9;15/01/2024
Immanuel Quickley;TOR;BOS;L;36.73;8;20;0.4;2;7;0.286;3;4;0.75;0;6;6;3;1;1;0;3;21;14.2;15/01/2024
Larry Nance;NOP;DAL;L;26.43;5;11;0.455;1;4;0.25;3;3;1.0;1;7;8;2;3;0;1;1;14;14.1;15/01/2024
Chuma Okeke;ORL;NYK;W;25.52;5;7;0.714;4;5;0.8;1;1;1.0;2;1;3;0;0;1;0;1;15;14.1;15/01/2024
Pascal Siakam;TOR;BOS;L;36.57;5;15;0.333;0;6;0.0;7;8;0.875;2;3;5;4;1;0;0;1;17;13.8;15/01/2024
Wendell Carter;ORL;NYK;W;18.88;7;11;0.636;1;3;0.333;2;2;1.0;1;2;3;0;0;1;0;1;17;13.7;15/01/2024
Jaren Jackson;MEM;GSW;W;33.3;4;20;0.2;3;14;0.214;7;8;0.875;0;5;5;5;4;1;1;1;18;13.5;15/01/2024
Dean Wade;CLE;CHI;W;26.0;4;10;0.4;4;10;0.4;0;0;0.0;1;6;7;3;3;0;0;2;12;13.4;15/01/2024
Cole Anthony;ORL;NYK;W;26.1;6;12;0.5;0;3;0.0;3;4;0.75;2;2;4;5;2;0;2;2;15;13.3;15/01/2024
Jacob Gilyard;MEM;GSW;W;19.12;4;7;0.571;3;4;0.75;0;0;0.0;0;2;2;3;2;1;0;0;11;13.1;15/01/2024
Julian Champagnie;SAS;ATL;L;20.08;5;8;0.625;5;8;0.625;0;0;0.0;0;1;1;1;1;0;0;1;15;13.0;15/01/2024
Donte DiVincenzo;NYK;ORL;L;24.28;5;12;0.417;2;8;0.25;3;6;0.5;2;4;6;4;0;1;0;2;15;12.7;15/01/2024
Miles McBride;NYK;ORL;L;36.08;8;17;0.471;4;10;0.4;0;0;0.0;0;2;2;1;2;1;1;4;20;12.7;15/01/2024
OG Anunoby;NYK;ORL;L;43.73;5;11;0.455;3;4;0.75;4;4;1.0;1;1;2;4;0;0;2;2;17;12.3;15/01/2024
Trey Murphy;NOP;DAL;L;22.47;2;5;0.4;1;4;0.25;9;12;0.75;0;3;3;0;1;0;0;0;14;12.0;15/01/2024
Andrew Wiggins;GSW;MEM;L;30.83;7;13;0.538;1;3;0.333;1;2;0.5;1;4;5;1;0;2;1;1;16;11.9;15/01/2024
Jordan Clarkson;UTA;IND;W;26.55;6;13;0.462;0;3;0.0;5;6;0.833;0;3;3;2;2;0;2;1;17;11.8;15/01/2024
Andre Drummond;CHI;CLE;L;22.22;3;3;1.0;0;0;0.0;2;4;0.5;3;7;10;1;2;2;2;2;8;11.8;15/01/2024
Cam Thomas;BRK;MIA;L;31.78;7;20;0.35;2;10;0.2;7;7;1.0;0;2;2;3;0;0;2;2;23;11.7;15/01/2024
Amen Thompson;HOU;PHI;L;19.27;7;8;0.875;0;1;0.0;0;1;0.0;2;1;3;0;1;0;1;2;14;11.7;15/01/2024
Jalen Green;HOU;PHI;L;27.28;7;16;0.438;1;7;0.143;5;7;0.714;0;5;5;3;0;0;2;2;20;11.6;15/01/2024
Christian Wood;LAL;OKC;W;13.95;4;7;0.571;1;2;0.5;2;2;1.0;2;5;7;1;0;3;1;2;11;11.6;15/01/2024
Paolo Banchero;ORL;NYK;W;32.6;9;19;0.474;0;2;0.0;2;5;0.4;1;5;6;3;0;0;2;1;20;11.0;15/01/2024
Jonathan Kuminga;GSW;MEM;L;29.12;9;18;0.5;1;5;0.2;1;1;1.0;2;9;11;0;0;0;3;3;20;10.9;15/01/2024
Buddy Hield;IND;UTA;L;22.72;5;8;0.625;3;5;0.6;1;1;1.0;1;1;2;1;0;0;1;1;14;10.7;15/01/2024
Herbert Jones;NOP;DAL;L;29.27;4;5;0.8;1;1;1.0;1;1;1.0;1;2;3;3;0;0;0;2;10;10.7;15/01/2024
Cam Whitmore;HOU;PHI;L;23.42;6;12;0.5;2;5;0.4;0;1;0.0;2;4;6;1;1;0;0;3;14;10.7;15/01/2024
Dennis Smith;BRK;MIA;L;32.38;3;8;0.375;1;4;0.25;1;2;0.5;1;4;5;5;4;1;2;2;8;10.5;15/01/2024
Isaiah Stewart;DET;WAS;W;37.68;7;17;0.412;1;6;0.167;1;2;0.5;4;2;6;4;1;2;3;4;16;10.5;15/01/2024
Santi Aldama;MEM;GSW;W;17.1;3;6;0.5;1;4;0.25;4;5;0.8;0;6;6;1;0;3;1;2;11;10.4;15/01/2024
Nic Claxton;BRK;MIA;L;42.58;4;9;0.444;0;0;0.0;1;1;1.0;2;11;13;2;0;2;1;1;9;10.4;15/01/2024
Tre Jones;SAS;ATL;L;30.18;3;8;0.375;0;1;0.0;0;0;0.0;0;1;1;12;3;0;3;0;6;10.3;15/01/2024
Caris LeVert;CLE;CHI;W;30.48;6;17;0.353;4;10;0.4;0;0;0.0;1;6;7;7;0;0;3;2;16;10.1;15/01/2024
Derrick White;BOS;TOR;W;37.0;7;18;0.389;5;11;0.455;3;3;1.0;0;2;2;1;0;0;3;1;22;10.1;15/01/2024
Grant Williams;DAL;NOP;W;31.05;3;7;0.429;1;4;0.25;0;0;0.0;0;3;3;7;3;0;0;5;7;10.1;15/01/2024
Andrew Nembhard;IND;UTA;L;23.08;5;10;0.5;1;3;0.333;3;3;1.0;0;0;0;4;1;0;2;2;14;10.0;15/01/2024
Jarred Vanderbilt;LAL;OKC;W;18.1;2;2;1.0;0;0;0.0;1;1;1.0;0;4;4;2;3;0;0;0;5;10.0;15/01/2024
Patrick Baldwin;WAS;DET;L;13.42;3;3;1.0;3;3;1.0;0;0;0.0;0;3;3;1;1;0;0;2;9;9.9;15/01/2024
Luguentz Dort;OKC;LAL;L;29.42;4;9;0.444;3;8;0.375;0;0;0.0;4;3;7;1;1;0;1;2;11;9.9;15/01/2024
Jarace Walker;IND;UTA;L;26.18;3;11;0.273;2;5;0.4;0;0;0.0;2;2;4;4;4;2;1;2;8;9.9;15/01/2024
Zach LaVine;CHI;CLE;L;34.67;7;14;0.5;3;6;0.5;0;0;0.0;0;4;4;4;0;0;3;3;17;9.8;15/01/2024
Daniel Gafford;WAS;DET;L;26.18;4;6;0.667;0;0;0.0;0;0;0.0;3;3;6;3;1;2;2;3;8;9.7;15/01/2024
Rui Hachimura;LAL;OKC;W;20.15;5;8;0.625;2;3;0.667;0;0;0.0;1;2;3;0;0;2;1;1;12;9.7;15/01/2024
Kevon Looney;GSW;MEM;L;17.75;4;4;1.0;0;0;0.0;0;0;0.0;1;4;5;2;1;0;1;1;8;9.7;15/01/2024
D'Angelo Russell;LAL;OKC;W;35.8;5;12;0.417;2;7;0.286;2;2;1.0;1;1;2;6;2;1;5;2;14;9.7;15/01/2024
Alex Caruso;CHI;CLE;L;30.87;4;9;0.444;2;5;0.4;0;0;0.0;0;3;3;3;3;1;2;1;10;9.6;15/01/2024
Luke Kennard;MEM;GSW;W;31.93;2;9;0.222;2;7;0.286;5;5;1.0;1;1;2;5;1;0;1;1;11;9.6;15/01/2024
Nikola Vučević;CHI;CLE;L;37.07;8;19;0.421;1;7;0.143;0;0;0.0;0;10;10;4;0;0;2;3;17;9.5;15/01/2024
Patrick Beverley;PHI;HOU;W;28.58;3;8;0.375;1;4;0.25;4;6;0.667;0;5;5;6;1;1;3;2;11;9.4;15/01/2024
Bam Adebayo;MIA;BRK;W;43.82;5;17;0.294;0;1;0.0;1;2;0.5;2;18;20;4;1;1;2;2;11;9.2;15/01/2024
Deni Avdija;WAS;DET;L;27.55;4;8;0.5;1;2;0.5;3;4;0.75;0;2;2;4;0;2;3;1;12;9.0;15/01/2024
Landry Shamet;WAS;DET;L;13.95;4;7;0.571;2;3;0.667;1;1;1.0;0;0;0;0;1;1;0;1;11;9.0;15/01/2024
Al Horford;BOS;TOR;W;35.17;4;10;0.4;2;4;0.5;0;0;0.0;2;9;11;2;1;0;1;3;10;8.9;15/01/2024
Dereck Lively;DAL;NOP;W;26.23;2;2;1.0;0;0;0.0;2;2;1.0;7;5;12;1;0;0;2;4;6;8.9;15/01/2024
Marcus Morris;PHI;HOU;W;14.02;3;3;1.0;2;2;1.0;0;0;0.0;0;5;5;1;0;0;0;1;8;8.9;15/01/2024
Dario Saric;GSW;MEM;L;23.48;3;6;0.5;3;5;0.6;4;4;1.0;0;7;7;3;0;1;4;5;13;8.9;15/01/2024
John Collins;UTA;IND;W;20.23;3;8;0.375;0;2;0.0;4;4;1.0;4;2;6;1;0;0;1;0;10;8.7;15/01/2024
Dennis Schröder;TOR;BOS;L;32.6;5;9;0.556;1;3;0.333;2;2;1.0;0;7;7;2;0;0;2;4;13;8.6;15/01/2024
Jabari Smith;HOU;PHI;L;31.0;5;9;0.556;0;1;0.0;3;5;0.6;1;6;7;2;0;0;2;3;13;8.6;15/01/2024
Ayo Dosunmu;CHI;CLE;L;19.22;3;7;0.429;1;2;0.5;3;3;1.0;1;2;3;3;0;0;0;3;10;8.5;15/01/2024
Kris Dunn;UTA;IND;W;21.45;2;3;0.667;0;0;0.0;0;0;0.0;1;1;2;6;2;1;1;3;4;8.4;15/01/2024
Josh Green;DAL;NOP;W;29.83;4;8;0.5;3;5;0.6;2;6;0.333;1;3;4;3;0;0;1;5;13;8.1;15/01/2024
Julius Randle;NYK;ORL;L;38.35;5;18;0.278;2;9;0.222;3;5;0.6;1;5;6;5;0;0;0;3;15;8.1;15/01/2024
Paul Reed;PHI;HOU;W;16.52;3;4;0.75;0;0;0.0;1;2;0.5;2;2;4;2;0;1;1;0;7;8.1;15/01/2024
Chet Holmgren;OKC;LAL;L;30.48;4;9;0.444;1;4;0.25;0;0;0.0;1;7;8;4;1;3;3;5;9;8.0;15/01/2024
T.J. McConnell;IND;UTA;L;18.65;3;6;0.5;0;0;0.0;2;2;1.0;1;4;5;5;1;0;3;1;8;8.0;15/01/2024
Jalen Smith;IND;UTA;L;19.4;5;10;0.5;2;5;0.4;0;0;0.0;1;5;6;3;0;1;2;5;12;8.0;15/01/2024
Josh Giddey;OKC;LAL;L;21.53;2;8;0.25;2;5;0.4;2;2;1.0;2;3;5;3;0;1;0;1;8;7.9;15/01/2024
David Roddy;MEM;GSW;W;21.4;5;12;0.417;2;4;0.5;0;0;0.0;3;4;7;2;0;0;2;1;12;7.9;15/01/2024
Saddiq Bey;ATL;SAS;W;32.83;3;9;0.333;1;7;0.143;3;4;0.75;4;1;5;2;0;0;0;3;10;7.8;15/01/2024
Jordan Poole;WAS;DET;L;31.83;6;14;0.429;2;7;0.286;2;2;1.0;0;0;0;2;0;0;1;3;16;7.8;15/01/2024
Kristaps Porzings;BOS;TOR;W;31.88;2;6;0.333;1;4;0.25;10;12;0.833;0;6;6;2;0;2;6;4;15;7.8;15/01/2024
Coby White;CHI;CLE;L;38.13;5;15;0.333;1;5;0.2;7;9;0.778;1;3;4;3;1;2;7;0;18;7.8;15/01/2024
Isaiah Hartenstein;NYK;ORL;L;28.48;3;6;0.5;0;0;0.0;1;1;1.0;5;7;12;3;0;0;2;5;7;7.7;15/01/2024
Walker Kessler;UTA;IND;W;24.97;2;2;1.0;0;0;0.0;0;2;0.0;1;4;5;1;0;5;1;0;4;7.7;15/01/2024
Bennedict Mathurin;IND;UTA;L;25.45;5;10;0.5;0;1;0.0;1;1;1.0;1;0;1;2;0;0;0;1;11;7.7;15/01/2024
James Wiseman;DET;WAS;W;14.73;3;4;0.75;0;0;0.0;0;0;0.0;2;3;5;0;0;2;0;1;6;7.7;15/01/2024
Markelle Fultz;ORL;NYK;W;23.47;3;8;0.375;0;0;0.0;0;0;0.0;1;4;5;7;0;0;0;2;6;7.6;15/01/2024
Jordan Hawkins;NOP;DAL;L;20.77;3;4;0.75;1;2;0.5;2;2;1.0;0;1;1;0;1;0;0;3;9;7.5;15/01/2024
Nicolas Batum;PHI;HOU;W;27.55;2;7;0.286;1;3;0.333;0;0;0.0;2;3;5;3;2;1;0;2;5;7.2;15/01/2024
Jock Landale;HOU;PHI;L;8.75;2;2;1.0;0;0;0.0;0;0;0.0;1;0;1;0;1;3;0;0;4;7.2;15/01/2024
Precious Achiuwa;NYK;ORL;L;19.5;2;4;0.5;0;0;0.0;2;2;1.0;3;2;5;1;0;1;1;0;6;7.1;15/01/2024
Fred VanVleet;HOU;PHI;L;32.53;2;5;0.4;2;4;0.5;2;4;0.5;0;1;1;5;0;2;1;4;8;7.1;15/01/2024
Scottie Barnes;TOR;BOS;L;40.67;5;12;0.417;0;2;0.0;0;0;0.0;2;11;13;2;2;0;4;2;10;6.9;15/01/2024
Dorian Finney-Smith;BRK;MIA;L;28.33;1;6;0.167;1;5;0.2;2;2;1.0;2;5;7;2;0;2;0;0;5;6.9;15/01/2024
Tobias Harris;PHI;HOU;W;30.83;3;7;0.429;2;3;0.667;2;2;1.0;0;3;3;2;0;0;1;2;10;6.8;15/01/2024
Goga Bitadze;ORL;NYK;W;29.0;1;3;0.333;0;0;0.0;1;2;0.5;4;7;11;3;0;0;0;3;3;6.7;15/01/2024
Dwight Powell;DAL;NOP;W;16.03;2;2;1.0;0;0;0.0;0;0;0.0;3;1;4;2;0;2;0;5;4;6.6;15/01/2024
Simone Fontecchio;UTA;IND;W;24.28;3;5;0.6;2;3;0.667;0;0;0.0;0;4;4;2;0;0;1;2;8;6.5;15/01/2024
Caleb Martin;MIA;BRK;W;33.98;3;8;0.375;1;4;0.25;2;2;1.0;0;3;3;1;1;1;1;1;9;6.5;15/01/2024
Brandon Ingram;NOP;DAL;L;32.08;3;14;0.214;0;4;0.0;6;8;0.75;0;5;5;5;1;0;1;3;12;6.4;15/01/2024
Oshae Brissett;BOS;TOR;W;6.75;2;4;0.5;1;1;1.0;2;2;1.0;2;1;3;0;0;0;0;1;7;6.3;15/01/2024
Draymond Green;GSW;MEM;L;23.5;2;4;0.5;1;1;1.0;2;2;1.0;0;7;7;4;1;0;3;4;7;6.3;15/01/2024
Dejounte Murray;ATL;SAS;W;32.83;6;15;0.4;1;6;0.167;0;0;0.0;0;13;13;0;0;1;2;3;13;6.3;15/01/2024
Oscar Tshiebwe;IND;UTA;L;12.0;1;5;0.2;0;0;0.0;2;2;1.0;4;2;6;0;2;0;0;0;4;6.3;15/01/2024
Corey Kispert;WAS;DET;L;15.08;3;5;0.6;2;3;0.667;0;0;0.0;0;2;2;3;0;0;1;3;8;6.2;15/01/2024
Marcus Sasser;DET;WAS;W;11.13;3;7;0.429;0;0;0.0;0;0;0.0;0;2;2;4;0;2;1;0;6;6.1;15/01/2024
Quentin Grimes;NYK;ORL;L;13.9;3;4;0.75;2;3;0.667;0;0;0.0;0;2;2;1;1;0;2;2;8;5.9;15/01/2024
Jonathan Isaac;ORL;NYK;W;15.9;2;4;0.5;1;2;0.5;0;0;0.0;1;6;7;0;0;1;0;1;5;5.8;15/01/2024
Kendall Brown;IND;UTA;L;12.0;2;5;0.4;0;1;0.0;4;6;0.667;2;0;2;1;0;0;0;3;8;5.4;15/01/2024
Danuel House;PHI;HOU;W;17.85;2;4;0.5;1;1;1.0;1;1;1.0;2;3;5;1;0;0;0;4;6;5.4;15/01/2024
Nikola Jović;MIA;BRK;W;18.73;2;4;0.5;1;3;0.333;0;0;0.0;0;3;3;2;0;0;0;0;5;5.3;15/01/2024
Klay Thompson;GSW;MEM;L;34.12;4;10;0.4;1;4;0.25;0;0;0.0;0;0;0;3;0;0;0;1;9;5.3;15/01/2024
Delon Wright;WAS;DET;L;15.73;2;6;0.333;1;2;0.5;0;0;0.0;1;0;1;4;1;0;0;2;5;5.3;15/01/2024
Thaddeus Young;TOR;BOS;L;16.08;0;4;0.0;0;1;0.0;0;0;0.0;2;2;4;7;2;0;0;2;0;5.3;15/01/2024
Myles Turner;IND;UTA;L;17.15;4;8;0.5;1;2;0.5;3;4;0.75;1;3;4;0;0;0;2;5;12;5.2;15/01/2024
Killian Hayes;DET;WAS;W;24.48;2;4;0.5;0;1;0.0;0;0;0.0;0;1;1;6;0;0;1;1;4;5.1;15/01/2024
DeMar DeRozan;CHI;CLE;L;38.12;3;8;0.375;0;1;0.0;0;0;0.0;0;6;6;3;2;1;2;3;6;5.0;15/01/2024
Kelly Oubre;PHI;HOU;W;25.8;3;8;0.375;1;3;0.333;0;0;0.0;0;2;2;0;4;0;1;3;7;5.0;15/01/2024
Jonas Valanciunas;NOP;DAL;L;19.47;2;5;0.4;0;0;0.0;2;2;1.0;4;2;6;2;0;2;3;4;6;4.9;15/01/2024
Luke Kornet;BOS;TOR;W;17.87;2;2;1.0;0;0;0.0;0;0;0.0;0;3;3;0;0;1;0;1;4;4.6;15/01/2024
Joe Ingles;ORL;NYK;W;20.27;3;6;0.5;0;1;0.0;0;0;0.0;0;1;1;4;0;0;1;2;6;4.3;15/01/2024
Xavier Tillman;MEM;GSW;W;30.28;1;6;0.167;0;2;0.0;0;0;0.0;1;3;4;3;1;2;0;0;2;4.3;15/01/2024
Sam Hauser;BOS;TOR;W;16.18;1;2;0.5;1;1;1.0;0;0;0.0;0;5;5;0;0;1;0;0;3;4.2;15/01/2024
Vasilije Micic;OKC;LAL;L;15.07;2;4;0.5;2;2;1.0;0;0;0.0;0;1;1;1;0;0;0;2;6;4.2;15/01/2024
Garrison Mathews;ATL;SAS;W;13.2;2;4;0.5;2;4;0.5;0;0;0.0;0;0;0;0;0;0;0;0;6;4.0;15/01/2024
Cason Wallace;OKC;LAL;L;19.65;2;6;0.333;1;4;0.25;0;0;0.0;0;0;0;1;2;1;1;0;5;4.0;15/01/2024
Dominick Barlow;SAS;ATL;L;16.8;1;4;0.25;0;0;0.0;2;4;0.5;0;7;7;1;1;0;0;2;4;3.8;15/01/2024
Tristan Thompson;CLE;CHI;W;13.82;2;4;0.5;0;0;0.0;0;0;0.0;1;1;2;1;0;0;0;0;4;3.7;15/01/2024
Jevon Carter;CHI;CLE;L;11.03;2;4;0.5;1;3;0.333;0;0;0.0;1;1;2;0;0;0;0;1;5;3.6;15/01/2024
Obi Toppin;IND;UTA;L;13.03;1;3;0.333;0;0;0.0;0;0;0.0;1;2;3;2;1;0;0;1;2;3.6;15/01/2024
Kenrich Williams;OKC;LAL;L;16.52;2;5;0.4;1;3;0.333;0;0;0.0;0;2;2;0;1;0;0;1;5;3.5;15/01/2024
Kelly Olynyk;UTA;IND;W;16.72;1;3;0.333;0;0;0.0;2;2;1.0;1;5;6;4;0;1;3;4;4;3.4;15/01/2024
Doug McDermott;SAS;ATL;L;15.27;2;5;0.4;2;5;0.4;0;0;0.0;0;1;1;0;0;0;0;1;6;3.2;15/01/2024
Dyson Daniels;NOP;DAL;L;18.98;1;2;0.5;0;1;0.0;0;0;0.0;2;1;3;2;0;0;0;3;2;2.9;15/01/2024
Maxi Kleber;DAL;NOP;W;19.27;1;3;0.333;0;2;0.0;2;2;1.0;0;5;5;1;0;2;1;5;4;2.9;15/01/2024
Josh Richardson;MIA;BRK;W;27.97;3;13;0.231;2;6;0.333;1;1;1.0;1;4;5;1;0;1;1;2;9;2.6;15/01/2024
Jalen McDaniels;TOR;BOS;L;12.25;2;5;0.4;1;3;0.333;0;2;0.0;1;1;2;0;0;0;0;0;5;2.5;15/01/2024
Jaden Hardy;DAL;NOP;W;15.32;2;7;0.286;1;5;0.2;0;0;0.0;1;3;4;1;0;0;0;2;5;2.4;15/01/2024
Kyle Lowry;MIA;BRK;W;23.9;1;5;0.2;0;2;0.0;0;0;0.0;0;4;4;5;1;0;1;3;2;2.4;15/01/2024
Brandin Podziemski;GSW;MEM;L;26.88;4;12;0.333;0;3;0.0;0;0;0.0;2;2;4;4;0;0;2;4;8;2.4;15/01/2024
A.J. Lawson;DAL;NOP;W;13.62;1;3;0.333;1;2;0.5;0;0;0.0;1;0;1;0;0;1;0;1;3;2.3;15/01/2024
Onyeka Okongwu;ATL;SAS;W;23.15;3;8;0.375;0;1;0.0;1;1;1.0;2;4;6;1;0;0;2;4;7;2.3;15/01/2024
Blake Wesley;SAS;ATL;L;12.63;1;4;0.25;0;2;0.0;1;2;0.5;1;1;2;3;0;0;1;0;3;2.3;15/01/2024
Devin Vassell;SAS;ATL;L;30.45;2;11;0.182;0;5;0.0;0;0;0.0;1;3;4;4;0;1;0;0;4;2.2;15/01/2024
Isaiah Joe;OKC;LAL;L;20.03;2;10;0.2;0;6;0.0;0;0;0.0;2;5;7;1;2;0;1;1;4;2.0;15/01/2024
Georges Niang;CLE;CHI;W;18.53;3;11;0.273;3;9;0.333;0;0;0.0;0;2;2;0;0;1;1;2;9;2.0;15/01/2024
Jaylin Williams;OKC;LAL;L;5.77;1;3;0.333;1;3;0.333;0;0;0.0;1;0;1;0;0;0;0;0;3;2.0;15/01/2024
Bilal Coulibaly;WAS;DET;L;27.13;1;4;0.25;0;1;0.0;0;0;0.0;1;3;4;2;0;0;0;2;2;1.8;15/01/2024
Ousmane Dieng;OKC;LAL;L;12.37;2;5;0.4;1;4;0.25;0;0;0.0;1;2;3;0;0;0;1;2;5;1.8;15/01/2024
Trent Forrest;ATL;SAS;W;12.37;1;3;0.333;1;1;1.0;0;0;0.0;1;2;3;0;0;0;0;2;3;1.8;15/01/2024
Taurean Prince;LAL;OKC;W;30.85;1;6;0.167;1;5;0.2;0;0;0.0;0;2;2;3;0;1;0;2;3;1.8;15/01/2024
Ochai Agbaji;UTA;IND;W;23.72;1;4;0.25;0;1;0.0;2;2;1.0;0;4;4;0;0;1;1;2;4;1.7;15/01/2024
Anthony Gill;WAS;DET;L;2.62;1;2;0.5;1;1;1.0;0;0;0.0;1;0;1;0;0;0;1;0;3;1.7;15/01/2024
Jordan Nwora;IND;UTA;L;16.72;3;10;0.3;0;4;0.0;1;2;0.5;1;2;3;2;0;0;1;2;7;1.7;15/01/2024
